,TRADE_DT,S_INFO_WINDCODE,S_DQ_CLOSE
0,20100104,000300.SH,3535.229
1,20100105,000300.SH,3564.038
2,20100106,000300.SH,3541.727
3,20100107,000300.SH,3471.456
4,20100108,000300.SH,3480.13
5,20100111,000300.SH,3482.052
6,20100112,000300.SH,3534.916
7,20100113,000300.SH,3421.144
8,20100114,000300.SH,3469.051
9,20100115,000300.SH,3482.738
10,20100118,000300.SH,3500.684
11,20100119,000300.SH,3507.482
12,20100120,000300.SH,3394.434
13,20100121,000300.SH,3408.574
14,20100122,000300.SH,3366.197
15,20100125,000300.SH,3328.014
16,20100126,000300.SH,3242.797
17,20100127,000300.SH,3198.566
18,20100128,000300.SH,3206.57
19,20100129,000300.SH,3204.155
20,20100201,000300.SH,3152.707
21,20100202,000300.SH,3146.189
22,20100203,000300.SH,3230.715
23,20100204,000300.SH,3218.802
24,20100205,000300.SH,3153.087
25,20100208,000300.SH,3150.988
26,20100209,000300.SH,3169.19
27,20100210,000300.SH,3214.13
28,20100211,000300.SH,3220.398
29,20100212,000300.SH,3251.278
30,20100222,000300.SH,3233.345
31,20100223,000300.SH,3198.634
32,20100224,000300.SH,3244.483
33,20100225,000300.SH,3292.128
34,20100226,000300.SH,3281.666
35,20100301,000300.SH,3324.423
36,20100302,000300.SH,3311.236
37,20100303,000300.SH,3335.081
38,20100304,000300.SH,3250.573
39,20100305,000300.SH,3259.764
40,20100308,000300.SH,3286.178
41,20100309,000300.SH,3305.863
42,20100310,000300.SH,3279.694
43,20100311,000300.SH,3276.705
44,20100312,000300.SH,3233.126
45,20100315,000300.SH,3183.183
46,20100316,000300.SH,3203.971
47,20100317,000300.SH,3273.916
48,20100318,000300.SH,3267.555
49,20100319,000300.SH,3293.871
50,20100322,000300.SH,3302.628
51,20100323,000300.SH,3275.573
52,20100324,000300.SH,3276.669
53,20100325,000300.SH,3229.128
54,20100326,000300.SH,3275.002
55,20100329,000300.SH,3358.54
56,20100330,000300.SH,3366.708
57,20100331,000300.SH,3345.607
58,20100401,000300.SH,3391.935
59,20100402,000300.SH,3407.346
60,20100406,000300.SH,3405.145
61,20100407,000300.SH,3386.949
62,20100408,000300.SH,3346.744
63,20100409,000300.SH,3379.17
64,20100412,000300.SH,3351.478
65,20100413,000300.SH,3391.716
66,20100414,000300.SH,3403.707
67,20100415,000300.SH,3394.574
68,20100416,000300.SH,3356.332
69,20100419,000300.SH,3176.423
70,20100420,000300.SH,3173.374
71,20100421,000300.SH,3236.679
72,20100422,000300.SH,3201.541
73,20100423,000300.SH,3190.003
74,20100426,000300.SH,3171.997
75,20100427,000300.SH,3108.409
76,20100428,000300.SH,3097.353
77,20100429,000300.SH,3060.064
78,20100430,000300.SH,3067.365
79,20100504,000300.SH,3019.449
80,20100505,000300.SH,3036.394
81,20100506,000300.SH,2896.856
82,20100507,000300.SH,2836.789
83,20100510,000300.SH,2858.233
84,20100511,000300.SH,2800.817
85,20100512,000300.SH,2818.16
86,20100513,000300.SH,2886.911
87,20100514,000300.SH,2868.023
88,20100517,000300.SH,2714.715
89,20100518,000300.SH,2771.348
90,20100519,000300.SH,2762.174
91,20100520,000300.SH,2726.022
92,20100521,000300.SH,2768.791
93,20100524,000300.SH,2873.469
94,20100525,000300.SH,2813.943
95,20100526,000300.SH,2813.944
96,20100527,000300.SH,2859.979
97,20100528,000300.SH,2850.302
98,20100531,000300.SH,2773.264
99,20100601,000300.SH,2744.162
100,20100602,000300.SH,2757.527
101,20100603,000300.SH,2736.076
102,20100604,000300.SH,2744.391
103,20100607,000300.SH,2695.715
104,20100608,000300.SH,2699.336
105,20100609,000300.SH,2782.133
106,20100610,000300.SH,2750.023
107,20100611,000300.SH,2758.866
108,20100617,000300.SH,2742.733
109,20100618,000300.SH,2696.166
110,20100621,000300.SH,2780.663
111,20100622,000300.SH,2783.72
112,20100623,000300.SH,2758.495
113,20100624,000300.SH,2757.498
114,20100625,000300.SH,2736.287
115,20100628,000300.SH,2716.777
116,20100629,000300.SH,2592.019
117,20100630,000300.SH,2563.07
118,20100701,000300.SH,2526.071
119,20100702,000300.SH,2534.105
120,20100705,000300.SH,2512.651
121,20100706,000300.SH,2562.902
122,20100707,000300.SH,2580.477
123,20100708,000300.SH,2575.921
124,20100709,000300.SH,2647.104
125,20100712,000300.SH,2676.218
126,20100713,000300.SH,2634.593
127,20100714,000300.SH,2653.609
128,20100715,000300.SH,2608.519
129,20100716,000300.SH,2616.128
130,20100719,000300.SH,2682.472
131,20100720,000300.SH,2741.503
